                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     58,                 1.3399,                0.91525,                  1.668,                 1.4904,                0.68416,                0.55214,                0.60874,                0.44618,                0.67989,                0.53662,                0.58844,                0.37891,                      0,                      0,                      0,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3361,                0.91616,                  1.678,                 1.4928,                 0.6874,                0.55079,                0.60987,                0.44706,                0.68528,                0.53526,                0.58942,                0.37997,                      0,                      0,                      0,                      0,               0.007129,               0.007129,               0.007129
                     60,                 1.3409,                0.91609,                 1.6767,                 1.4931,                0.68924,                0.55278,                0.61118,                0.44842,                0.68576,                0.53695,                0.59065,                0.38093,                      0,                      0,                      0,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3337,                 0.9093,                 1.6638,                 1.4895,                0.68703,                0.55485,                0.61259,                0.44957,                0.68467,                0.53974,                0.59245,                0.38196,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     62,                 1.3406,                0.91037,                 1.6693,                 1.4894,                0.68757,                0.55647,                0.61416,                0.45063,                0.68772,                0.53814,                0.59406,                0.38305,                      0,                      0,                      0,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3295,                0.90738,                 1.6575,                 1.4843,                 0.6876,                0.55786,                0.61496,                0.45162,                0.69255,                0.53735,                0.59506,                0.38393,                      0,                      0,                      0,                      0,               0.006931,               0.006931,               0.006931
                     64,                 1.3241,                0.90561,                 1.6524,                  1.484,                0.69196,                0.55697,                0.61569,                0.45247,                0.69097,                0.53999,                0.59577,                0.38495,                      0,                      0,                      0,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3267,                 0.9085,                  1.657,                 1.4826,                0.69405,                0.55686,                0.61713,                0.45349,                0.69191,                0.54018,                0.59676,                0.38572,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     66,                  1.337,                0.91133,                 1.6597,                 1.4846,                0.69632,                0.55571,                0.61824,                0.45424,                0.68903,                0.54193,                0.59757,                0.38651,                      0,                      0,                      0,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3247,                0.90641,                 1.6518,                 1.4817,                0.69237,                0.55934,                0.61932,                0.45516,                0.68987,                0.54157,                 0.5983,                0.38735,                      0,                      0,                      0,                      0,               0.006733,               0.006733,               0.006733
                     68,                 1.3321,                0.90905,                 1.6491,                 1.4828,                0.69355,                0.56044,                0.62019,                0.45599,                0.68382,                0.54623,                0.59946,                0.38796,                      0,                      0,                      0,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3212,                0.90596,                 1.6427,                 1.4764,                0.69793,                0.55946,                0.62124,                 0.4566,                0.68758,                0.54723,                 0.6003,                0.38854,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                     70,                 1.3199,                0.90415,                 1.6398,                 1.4771,                0.69664,                0.56102,                0.62224,                0.45731,                0.68617,                0.54749,                0.60064,                0.38889,                      0,                      0,                      0,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3183,                0.90411,                 1.6426,                 1.4786,                0.69714,                0.56119,                0.62333,                0.45846,                 0.6916,                0.54674,                0.60211,                0.38959,                      0,                      0,                      0,                      0,               0.006535,               0.006535,               0.006535
                     72,                 1.3164,                0.90393,                 1.6258,                 1.4739,                0.69818,                0.56266,                0.62501,                0.46014,                0.69137,                 0.5488,                0.60363,                0.39084,                      0,                      0,                      0,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3172,                0.90151,                 1.6229,                 1.4774,                0.69999,                0.56292,                0.62564,                0.46098,                0.69504,                 0.5475,                0.60451,                0.39142,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     74,                 1.3184,                0.90001,                  1.631,                 1.4752,                0.70017,                0.56488,                0.62654,                0.46148,                0.69909,                0.54725,                0.60563,                0.39204,                      0,                      0,                      0,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3142,                0.89572,                 1.6173,                 1.4702,                0.69537,                0.56843,                0.62725,                0.46218,                0.69531,                 0.5508,                0.60667,                0.39278,                      0,                      0,                      0,                      0,               0.006337,               0.006337,               0.006337
                     76,                 1.3156,                0.89784,                  1.622,                 1.4768,                0.69381,                0.57084,                0.62819,                0.46311,                0.68885,                0.55591,                 0.6076,                0.39327,                      0,                      0,                      0,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3123,                0.90004,                 1.6221,                 1.4757,                0.69562,                0.56995,                0.62885,                0.46368,                0.68934,                0.55513,                0.60813,                0.39366,                      0,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     78,                 1.3103,                0.89343,                 1.6237,                 1.4745,                0.69772,                0.57007,                0.62963,                0.46439,                0.69503,                0.55351,                0.60942,                0.39441,                      0,                      0,                      0,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3132,                0.89437,                 1.6147,                 1.4708,                0.70036,                0.56986,                0.63028,                0.46477,                0.69652,                0.55396,                0.61011,                0.39528,                      0,                      0,                      0,                      0,               0.006139,               0.006139,               0.006139
                     80,                 1.3151,                0.89579,                 1.6138,                 1.4713,                0.70177,                0.56993,                 0.6313,                0.46571,                0.69528,                0.55559,                0.61055,                0.39586,                      0,                      0,                      0,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3053,                0.89299,                 1.6073,                 1.4671,                0.70102,                0.57032,                0.63179,                0.46595,                0.69589,                0.55554,                0.61142,                0.39649,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     82,                 1.3107,                0.89525,                 1.6047,                 1.4684,                0.70315,                0.56973,                0.63218,                0.46669,                0.69481,                0.55644,                0.61156,                0.39688,                      0,                      0,                      0,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                  1.309,                0.89488,                 1.6123,                 1.4716,                0.69949,                0.57264,                0.63337,                0.46782,                0.69614,                0.55727,                0.61256,                 0.3977,                      0,                      0,                      0,                      0,               0.005941,               0.005941,               0.005941
                     84,                 1.3091,                 0.8879,                 1.5969,                 1.4706,                0.69689,                0.57465,                 0.6344,                0.46814,                0.69875,                0.55721,                0.61354,                0.39774,                      0,                      0,                      0,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.3081,                0.88978,                 1.5936,                 1.4637,                0.70311,                0.57405,                0.63567,                 0.4691,                0.69798,                0.55925,                0.61456,                0.39885,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     86,                 1.3068,                0.89013,                  1.596,                 1.4655,                 0.7012,                0.57388,                0.63596,                0.46941,                0.69784,                0.55879,                0.61494,                0.39893,                      0,                      0,                      0,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2971,                0.88346,                 1.5885,                 1.4607,                 0.7016,                0.57416,                0.63696,                0.47019,                0.69858,                0.55915,                0.61603,                0.39933,                      0,                      0,                      0,                      0,               0.005743,               0.005743,               0.005743
                     88,                 1.3081,                0.89325,                 1.5884,                 1.4631,                0.70001,                0.57636,                0.63727,                0.47087,                0.69783,                0.56006,                0.61668,                0.39986,                      0,                      0,                      0,                      0,              0.0056935,              0.0056935,              0.0056935
